Date,Image Name,Resolution,Size (bytes),Image Path,Brisque_Score,Quality_Assessment
03-05-2023,03-05-2023/100278361_2023-05-02_2.jpg,480 x 637,55905,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100278361_2023-05-02_2.jpg"")",20.44704545760439,Good quality and clarity
03-05-2023,03-05-2023/100279624_2023-05-02_2.jpg,480 x 640,28918,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100279624_2023-05-02_2.jpg"")",36.63419374694146,Poor quality and clarity
03-05-2023,03-05-2023/100279829_2023-05-02_2.jpg,480 x 640,49521,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100279829_2023-05-02_2.jpg"")",40.293464941380165,Poor quality and clarity
03-05-2023,03-05-2023/100280050_2023-05-02_2.jpg,360 x 480,2704,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100280050_2023-05-02_2.jpg"")",117.8285012551568,Poor quality and clarity
03-05-2023,03-05-2023/100280634_2023-05-02_2.jpg,480 x 640,45397,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100280634_2023-05-02_2.jpg"")",53.97616536343318,Poor quality and clarity
03-05-2023,03-05-2023/100280674_2023-05-02_2.jpg,360 x 480,23016,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100280674_2023-05-02_2.jpg"")",33.295530049585494,Poor quality and clarity
03-05-2023,03-05-2023/100282047_2023-05-02_2.jpg,480 x 637,49176,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100282047_2023-05-02_2.jpg"")",21.146788426538563,Good quality and clarity
03-05-2023,03-05-2023/100283924_2023-05-02_2.jpg,480 x 640,46406,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100283924_2023-05-02_2.jpg"")",20.048832652086816,Good quality and clarity
03-05-2023,03-05-2023/100285719_2023-05-02_2.jpg,480 x 640,63966,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100285719_2023-05-02_2.jpg"")",28.70722086224211,Good quality and clarity
03-05-2023,03-05-2023/100287322_2023-05-02_2.jpg,360 x 480,39208,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100287322_2023-05-02_2.jpg"")",25.49470585028459,Good quality and clarity
03-05-2023,03-05-2023/100289083_2023-05-02_2.jpg,270 x 480,17338,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100289083_2023-05-02_2.jpg"")",20.86512352866177,Good quality and clarity
03-05-2023,03-05-2023/100289162_2023-05-02_2.jpg,360 x 480,29910,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100289162_2023-05-02_2.jpg"")",25.000986053948708,Good quality and clarity
